food,image,fat,available,trialstart,hilo,tempname,food_item
stimuli/orange slices.jpg,45,0,1,0,lo,1,orange slices
stimuli/mushrooms.jpg,44,0,1,5,lo,1,mushrooms
stimuli/rigatoni and sauce.jpg,55,0,0,10,lo,2,rigatoni and sauce
stimuli/turkey sandwich.jpg,72,0,1,16,lo,1,turkey sandwich
stimuli/PB.jpg,46,1,1,21,hi,3,PB
stimuli/Whole milk.jpg,73,1,1,28,hi,1,Whole milk
stimuli/doughnuts.jpg,24,1,1,33,hi,6,doughnuts
stimuli/Tribe hummus pita.jpg,71,1,1,43,hi,1,Tribe hummus pita
stimuli/fried eggs.jpg,27,1,1,48,hi,1,fried eggs
stimuli/Hershey Kisses.jpg,34,1,1,53,hi,3,Hershey Kisses
stimuli/celery and carrot sticks.jpg,15,0,1,60,lo,3,celery and carrot sticks
stimuli/grilled cheese.jpg,32,1,1,67,hi,1,grilled cheese
stimuli/peaches.jpg,47,0,0,72,lo,2,peaches
stimuli/trail mix.jpg,70,1,1,78,hi,1,trail mix
stimuli/apple slices.jpg,4,0,1,83,lo,1,apple slices
stimuli/sour patch.jpg,63,0,1,88,lo,2,sour patch
stimuli/baked potato.jpg,10,0,0,94,lo,2,baked potato
stimuli/mashed potato.jpg,41,1,1,100,hi,3,mashed potato
stimuli/american cheese.jpg,3,1,1,107,hi,1,american cheese
stimuli/cookies.jpg,20,1,1,112,hi,1,cookies
stimuli/grilled chicken strips.jpg,33,0,1,117,lo,2,grilled chicken strips
stimuli/mozzarella sticks.jpg,43,1,1,123,hi,3,mozzarella sticks
stimuli/banana.jpg,11,0,1,130,lo,1,banana
stimuli/tacos.jpg,69,1,0,135,hi,1,tacos
stimuli/air popcorn.jpg,2,0,1,140,lo,1,air popcorn
stimuli/bagel plain.jpg,8,0,1,145,lo,4,bagel plain
stimuli/cherry tomato.jpg,18,0,1,153,lo,1,cherry tomato
stimuli/chicken nuggets2.jpg,19,1,1,158,hi,1,chicken nuggets2
stimuli/pizza.jpg,49,1,1,163,hi,5,pizza
stimuli/Cheese nachos.jpg,16,1,0,172,hi,2,Cheese nachos
stimuli/french fries.jpg,26,1,1,178,hi,9,french fries
stimuli/soup with spoon.jpg,62,0,1,191,lo,4,soup with spoon
stimuli/reeses.jpg,53,1,1,199,hi,1,reeses
stimuli/baby cheese.jpg,6,1,1,204,hi,4,baby cheese
stimuli/raisins.jpg,52,0,1,212,lo,5,raisins
stimuli/rigatoni.jpg,56,0,0,221,lo,3,rigatoni
stimuli/eggs.jpg,25,1,1,228,hi,3,eggs
stimuli/green beans.jpg,31,0,1,235,lo,1,green beans
stimuli/hotdog w must.jpg,35,1,1,240,hi,1,hotdog w must
stimuli/saltines.jpg,59,0,1,245,lo,3,saltines
stimuli/granola w milk.jpg,29,1,1,252,hi,5,granola w milk
stimuli/mac & cheese.jpg,40,1,1,261,hi,1,mac & cheese
stimuli/lollipops.jpg,38,0,1,266,lo,9,lollipops
stimuli/cucumber slices.jpg,22,0,1,279,lo,2,cucumber slices
stimuli/Pretzels.jpg,50,0,1,285,lo,1,Pretzels
stimuli/bagel and cc.jpg,7,1,1,290,hi,2,bagel and cc
stimuli/cherries.jpg,17,0,0,296,lo,5,cherries
stimuli/Grapes.jpg,30,0,1,305,lo,1,Grapes
stimuli/burger.jpg,14,1,0,310,hi,1,burger
stimuli/baguette oil.jpg,9,1,1,315,hi,2,baguette oil
stimuli/string cheese.jpg,67,1,1,321,hi,1,string cheese
stimuli/ritz.jpg,57,1,1,326,hi,2,ritz
stimuli/yellow popcorn.jpg,74,1,1,332,hi,1,yellow popcorn
stimuli/froot loops w milk.jpg,28,0,1,337,lo,6,froot loops w milk
stimuli/cupcakes am.jpg,23,1,1,347,hi,1,cupcakes am
stimuli/broccoli cauliflower.jpg,12,0,1,352,lo,1,broccoli cauliflower
stimuli/ice cream sundae 002.jpg,36,1,1,357,hi,1,ice cream sundae 002
stimuli/seaweed.jpg,60,0,1,362,lo,1,seaweed
stimuli/Skim milk.jpg,61,0,1,367,lo,2,Skim milk
stimuli/avocado.jpg,5,1,0,373,hi,2,avocado
stimuli/pickles.jpg,48,0,1,379,lo,1,pickles
stimuli/corn cob.jpg,21,0,0,384,lo,3,corn cob
stimuli/salad w chicken.jpg,58,1,1,391,hi,2,salad w chicken
stimuli/strawberries.jpg,66,0,1,397,lo,2,strawberries
stimuli/soy chips.jpg,64,0,0,403,lo,5,soy chips
stimuli/kiwi.jpg,37,0,0,412,lo,1,kiwi
stimuli/m_and_m.jpg,39,1,1,417,hi,1,m_and_m
stimuli/mini muffins.jpg,42,1,1,422,hi,6,mini muffins
stimuli/brownie.jpg,13,1,1,432,hi,2,brownie
stimuli/steak.jpg,65,1,0,438,hi,2,steak
stimuli/1permilk.jpg,1,0,1,444,lo,1,1permilk
stimuli/raisin bran w milk.jpg,51,0,1,449,lo,2,raisin bran w milk
stimuli/sushi w_condiments.jpg,68,0,1,455,lo,1,sushi w_condiments
stimuli/rice cakes.jpg,54,0,1,460,lo,2,rice cakes
stimuli/yogurt no spoon.jpg,75,0,1,466,lo,1,yogurt no spoon
stimuli/yogurt pretzels.jpg,76,1,1,471,hi,5,yogurt pretzels
